PaymentID,Clicense,Amount,PaymentTime,Method
120,辽L47427,483.97,2023-08-26 00:00:00,支付宝
121,蒙J75102,353.4,2023-07-22 00:00:00,现金
122,渝Q98204,392.19,2023-09-17 00:00:00,支付宝
123,豫T22685,440.41,2023-05-16 00:00:00,支付宝
124,吉U84772,338.28,2023-01-03 00:00:00,支付宝
125,冀H19543,12.69,2023-03-20 00:00:00,支付宝
126,蒙I10079,410.92,2023-11-04 00:00:00,支付宝
127,浙G38892,89.35,2023-10-20 00:00:00,支付宝
128,渝W86109,280.09,2023-07-20 00:00:00,现金
129,冀H21276,324.0,2023-01-27 00:00:00,微信
130,湘D11716,68.79,2023-11-22 00:00:00,支付宝
131,浙W45050,204.54,2023-06-12 00:00:00,微信
132,皖Z94811,221.51,2023-02-20 00:00:00,微信
133,冀A65146,254.61,2023-11-20 00:00:00,微信
134,鲁Y98272,422.3,2023-11-18 00:00:00,支付宝
135,津Y79815,83.73,2023-06-15 00:00:00,现金
136,津X99093,51.17,2023-08-12 00:00:00,现金
137,津D66713,386.17,2023-03-20 00:00:00,现金
138,津W76186,355.25,2023-02-10 00:00:00,微信
139,吉O52053,17.52,2023-03-08 00:00:00,支付宝
140,豫T37927,317.59,2023-07-03 00:00:00,现金
141,津T25497,328.0,2023-04-24 00:00:00,支付宝
142,沪U64999,270.03,2023-05-06 00:00:00,微信
143,赣P24950,386.34,2023-12-04 00:00:00,现金
144,皖O69741,46.07,2023-03-15 00:00:00,微信
145,渝P12904,321.0,2023-10-24 00:00:00,现金
146,鄂B13857,232.27,2023-11-02 00:00:00,现金
147,渝J74166,75.21,2023-05-15 00:00:00,现金
148,津X99093,43.3,2023-07-05 00:00:00,现金
149,鲁Y98272,54.83,2023-01-12 00:00:00,支付宝
150,渝W21106,245.83,2023-11-17 00:00:00,现金
151,鄂I35707,345.23,2023-07-12 00:00:00,支付宝
152,豫T37927,454.61,2023-03-24 00:00:00,现金
153,皖V16300,10.02,2023-04-02 00:00:00,微信
154,辽U61368,317.45,2023-01-17 00:00:00,现金
155,粤Z19436,496.9,2023-09-05 00:00:00,微信
156,津A37404,275.51,2023-03-23 00:00:00,微信
157,渝S06765,463.66,2023-04-09 00:00:00,微信
158,闽F61511,270.3,2023-09-23 00:00:00,微信
159,皖K78886,112.07,2023-07-06 00:00:00,现金
160,湘L69680,19.6,2023-03-12 00:00:00,现金
161,津G98461,365.23,2023-03-06 00:00:00,支付宝
162,皖O69741,243.38,2023-02-17 00:00:00,支付宝
163,京M55845,327.7,2023-08-28 00:00:00,微信
164,鲁Y24763,220.85,2023-07-24 00:00:00,现金
165,皖N98956,90.61,2023-12-18 00:00:00,微信
166,吉J47150,481.13,2023-02-22 00:00:00,微信
167,赣Z89457,159.23,2023-04-16 00:00:00,微信
168,晋P19481,219.57,2023-08-17 00:00:00,支付宝
169,津J22275,374.8,2023-06-13 00:00:00,微信
170,豫F53496,305.61,2023-08-08 00:00:00,现金
171,辽U61368,179.69,2023-11-20 00:00:00,现金
172,渝L42362,87.79,2023-01-18 00:00:00,微信
173,鲁C03910,295.5,2023-05-31 00:00:00,微信
174,蒙J75102,475.44,2023-09-29 00:00:00,支付宝
175,苏K24776,19.82,2023-04-03 00:00:00,支付宝
176,湘D11716,396.49,2023-07-03 00:00:00,现金
177,渝W21106,111.52,2023-07-10 00:00:00,支付宝
178,蒙I89378,390.86,2023-03-04 00:00:00,现金
179,闽V19363,345.7,2023-06-18 00:00:00,现金
180,粤Y93551,285.9,2023-06-14 00:00:00,现金
181,鲁G66001,37.79,2023-05-26 00:00:00,微信
182,沪C47377,265.99,2023-02-22 00:00:00,微信
183,津T81325,359.55,2023-12-10 00:00:00,现金
184,津M92971,446.87,2023-08-04 00:00:00,微信
185,蒙G04931,162.3,2023-06-13 00:00:00,现金
186,沪Z63009,29.58,2023-09-10 00:00:00,支付宝
187,苏M32398,495.18,2023-08-04 00:00:00,现金
188,鲁Z26342,229.13,2023-11-04 00:00:00,支付宝
189,苏H96999,194.51,2023-10-23 00:00:00,现金
190,赣X81167,13.83,2023-10-22 00:00:00,现金
191,闽U28493,145.76,2023-07-26 00:00:00,现金
192,吉J61831,459.43,2023-01-21 00:00:00,支付宝
193,蒙J75102,13.05,2023-08-29 00:00:00,现金
194,吉U84772,363.01,2023-05-21 00:00:00,支付宝
195,浙O78639,203.17,2023-10-12 00:00:00,支付宝
196,辽Y96702,308.1,2023-07-21 00:00:00,支付宝
197,吉Y08325,249.2,2023-11-25 00:00:00,现金
198,渝Q98204,469.16,2023-02-22 00:00:00,现金
199,闽S22833,28.68,2023-01-06 00:00:00,现金
200,黑M40167,496.8,2023-12-19 00:00:00,微信
201,津Z86705,117.04,2023-02-15 00:00:00,现金
202,津K93286,408.99,2023-10-03 00:00:00,现金
203,辽N14591,133.55,2023-01-23 00:00:00,现金
204,皖Z41787,473.84,2023-02-08 00:00:00,支付宝
205,辽G80966,345.52,2023-07-14 00:00:00,支付宝
206,蒙L56048,462.8,2023-10-26 00:00:00,支付宝
207,粤R22258,67.51,2023-03-17 00:00:00,微信
208,浙T85984,320.27,2023-12-09 00:00:00,现金
209,黑Y36756,266.16,2023-10-23 00:00:00,支付宝
210,湘G00299,247.6,2023-05-24 00:00:00,支付宝
211,苏E22760,116.79,2023-05-16 00:00:00,支付宝
212,津G98461,179.74,2023-05-05 00:00:00,微信
213,辽E27628,368.96,2023-04-16 00:00:00,微信
214,吉V00165,42.2,2023-09-11 00:00:00,现金
215,沪C47377,11.5,2023-04-21 00:00:00,支付宝
216,鲁R67900,98.02,2023-02-23 00:00:00,支付宝
217,鲁N20001,407.93,2023-09-28 00:00:00,微信
218,黑V96972,381.44,2023-06-09 00:00:00,微信
219,吉Y08325,329.37,2023-09-16 00:00:00,现金
220,蒙E77848,113.3,2023-07-06 00:00:00,支付宝
221,闽X81370,434.59,2023-09-20 00:00:00,现金
222,鄂Z01995,98.04,2023-05-23 00:00:00,支付宝
223,苏F91749,344.7,2023-10-23 00:00:00,微信
224,赣Q23859,77.91,2023-02-24 00:00:00,微信
225,鄂B13857,124.08,2023-08-24 00:00:00,现金
226,津O27498,19.15,2023-12-05 00:00:00,微信
227,闽X81370,179.22,2023-03-02 00:00:00,微信
228,浙N22191,180.44,2023-04-19 00:00:00,现金
229,苏K24776,253.58,2023-09-18 00:00:00,支付宝
230,沪J83540,223.46,2023-07-09 00:00:00,现金
231,渝G39539,326.07,2023-08-05 00:00:00,现金
232,豫T35493,98.78,2023-04-01 00:00:00,微信
233,渝W55640,267.13,2023-09-10 00:00:00,微信
234,津M64503,59.05,2023-01-26 00:00:00,微信
235,辽L74627,479.69,2023-04-23 00:00:00,现金
236,沪J83540,448.05,2023-10-22 00:00:00,支付宝
237,津T25497,37.59,2023-02-21 00:00:00,支付宝
238,皖P75524,441.89,2023-12-25 00:00:00,微信
239,冀G09226,198.99,2023-02-21 00:00:00,现金
240,豫T22685,250.11,2023-03-29 00:00:00,现金
241,浙O78639,320.27,2023-12-28 00:00:00,微信
242,辽U01067,368.27,2023-02-18 00:00:00,现金
243,苏B97624,454.35,2023-11-15 00:00:00,支付宝
244,粤U57151,427.02,2023-12-19 00:00:00,现金
245,蒙L56048,160.98,2023-02-05 00:00:00,现金
246,豫P41713,169.42,2023-08-22 00:00:00,现金
247,鲁V30340,334.69,2023-08-08 00:00:00,支付宝
248,粤G84082,92.87,2023-05-16 00:00:00,现金
249,蒙L56048,341.21,2023-01-05 00:00:00,微信
250,鲁U73871,484.92,2023-10-26 00:00:00,现金
