cno,clicense,pno,username,cin,cinHour,cinMin,cout,coutHour,coutMin,ctype
75,鄂A63737,136,user7,05:31,5,31,,0,0,1
76,鄂A94691,48,user8,00:43,0,43,,0,0,1
77,鄂A98616,108,user13,09:04,9,4,,0,0,1
78,鄂A49346,194,user11,11:45,11,45,,0,0,1
79,鄂A77121,65,user8,08:09,8,9,,0,0,1
80,鄂A26366,77,user19,08:53,8,53,,0,0,1
81,鄂A24846,186,user5,12:57,12,57,,0,0,1
82,鄂A33473,32,user3,07:48,7,48,,0,0,2
83,鄂A42017,37,user1,09:54,9,54,,0,0,1
84,鄂A15345,21,user1,17:21,17,21,,0,0,2
85,鄂A59272,117,user3,19:35,19,35,,0,0,2
86,鄂A83403,79,user2,22:25,22,25,,0,0,2
87,鄂A27263,140,user1,05:15,5,15,,0,0,2
88,鄂A24000,75,user12,07:09,7,9,,0,0,2
89,鄂A17346,49,user15,13:45,13,45,,0,0,1
90,鄂A26695,53,user15,03:41,3,41,,0,0,1
91,鄂A18818,99,user10,17:09,17,9,,0,0,1
92,鄂A34673,179,user14,23:15,23,15,,0,0,1
93,鄂A72783,84,user17,09:07,9,7,,0,0,2
94,鄂A51534,168,user17,23:01,23,1,,0,0,1
95,鄂A10026,193,user18,19:56,19,56,,0,0,2
96,鄂A62293,82,user16,15:56,15,56,,0,0,1
97,鄂A42629,31,user15,23:09,23,9,,0,0,1
98,鄂A68764,67,user13,14:50,14,50,,0,0,2
99,鄂A11850,191,user9,21:53,21,53,,0,0,1
100,鄂A87213,39,user6,05:01,5,1,,0,0,1
